name,price,category,available,description,image
"Aloo Puri with pickle",40,"Food",true,"A hearty and popular Indian breakfast featuring a savory, spiced potato curry served with perfectly puffed, deep-fried bread.","https://i.ibb.co/Kpj00n5G/Aloo-pickle-with-pickle.jpg"
"Coffee",15,"Drinks",true,"Bold and full-bodied coffee, with a rich, aromatic flavor.","https://i.ibb.co/TMQ7v70d/coffee.jpg"
"Cornflakes with Milk",20,"Food",true,"A light and crunchy breakfast to start your day fresh! Served with chilled milk for a quick and healthy energy boost before classes.","https://i.ibb.co/MDBrJ1Rb/cornflakes-with-milk.jpg"
"Dhokla with Green Chutney",20,"Food",true,"Soft, fluffy Gujarati snack made from fermented batter, served with tangy green chutney — perfect for a light and tasty bite","https://i.ibb.co/GfFm2WKG/Dhokla-with-green-chutney.jpg"
"Double Omelette with Bread",30,"Food",true,"Two-egg omelette packed with flavor, served with toasted bread — a protein-rich option that keeps you full for long study sessions.","https://i.ibb.co/8Vzzzw3/double-omelette.jpg"
"Extra Pav",5,"Extra",true,"Soft bread rolls served as an add-on with pav bhaji, misal, or any spicy dish — simple yet essential!","https://i.ibb.co/nsKBqkfr/pav.jpg"
"Fried Rice",60,"Chinese",true,"Classic Indo-Chinese fried rice tossed with veggies and sauces — a flavorful, filling meal loved by students everywhere.","https://i.ibb.co/YF8Y9wqx/fried-rice.jpg"
"Idli ",30,"Food",true,"Soft, steamed South Indian rice cakes served with chutney or sambar — light, healthy, and ideal for breakfast or a quick snack.","https://i.ibb.co/pvL994f7/idli-with-sambar-and-chutney.jpg"
"Idli Varda",35,"Food",true,"","https://i.ibb.co/G3kXTSwT/idli-Warda.jpg"
"Maggi",20,"Snacks",true,"The ultimate hostel favorite! Hot and spicy instant noodles ready in minutes — comforting, quick, and always satisfying.","https://i.ibb.co/SXBHxkP6/maggie.jpg"
"Manchurian",60,"Chinese",true,"Crispy fried veggie balls tossed in a tangy, spicy Chinese-style sauce — best enjoyed with fried rice or noodles.","https://i.ibb.co/N2kgNX03/Manchurian.jpg"
"Masala Dosa",40,"Food",true,"Crispy South Indian crepe stuffed with spicy potato filling, served with chutney and sambar — a perfect mix of crunch and flavor.","https://i.ibb.co/qYBRv5xx/masala-dosa-with-chutney-and-sambhar.jpg"
"Masala Maggi","30","Snacks",true,"A twist to the classic Maggi — cooked with onions, tomatoes, and Indian spices for that desi street-style kick!","https://i.ibb.co/ZptQNMQW/masala-Maggie.jpg"
"Mendu Warda",40,"Food",true,"Crispy on the outside, soft inside — South Indian lentil doughnuts served with chutney and sambar, perfect with a cup of tea.","https://i.ibb.co/sv2QM6Ms/medu-vada-with-coconut-chutney.jpg"
"Milk",15,"Drinks",true,"Fresh, nutritious milk served hot or cold — great for a quick energy refill during busy college days.","https://i.ibb.co/9mVZrS32/milk.jpg"
"Missal Pav",40,"Food",true,"A spicy Maharashtrian curry made with sprouts, topped with farsan, onions, and served with pav — fiery, flavorful, and filling!","https://i.ibb.co/5h8ZTWsx/misal-pav.jpg"
"Momos",60,"Food",true,"Steamed or fried dumplings stuffed with veggies or chicken, served with spicy red chutney — a campus favorite snack.","https://i.ibb.co/4rQ9ttH/Momos.jpg"
"Mushroom Chilli",80,"Chinese",true,"Spicy and flavorful Indo-Chinese dish made with mushrooms tossed in a tangy sauce — perfect for spice lovers!","https://i.ibb.co/nMHHpC1v/mashroom-chilli.jpg"
"Noodles",60,"Chinese",true,"Stir-fried noodles tossed with veggies and sauces — a quick, tasty meal for those late-night hunger pangs.","https://i.ibb.co/XxcsnpZC/noodles.jpg"
"Omelette with Bread",20,"Food",true,"A simple yet filling combo of a fluffy omelette served with toasted bread — ideal for a quick and tasty breakfast.","https://i.ibb.co/2YfL4hyJ/bread-omlette.jpg"
"Pakoda Onion",20,"Snacks",true,"Crispy onion fritters fried to golden perfection — a popular tea-time snack during rainy or exam days.","https://i.ibb.co/W4KYtSv7/onion-pakoda.jpg"
"Pakoda Paneer",20,"Snacks",true,"Soft paneer cubes dipped in spicy batter and fried crisp — a delicious treat that’s crunchy outside and creamy inside.","https://i.ibb.co/ZzfNcrmq/paneer-pakoda.jpg"
"Pakoda Potato",20,"Snacks",true,"Crispy golden fritters made from spiced potato slices — the perfect tea-time snack to enjoy with friends.","https://i.ibb.co/nsPLMbQt/Aloo-pakoda.jpg"
"Pakoda bread",20,"Snacks",true,"Bread slices dipped in gram flour batter and fried till crisp — crunchy, satisfying, and full of flavor.","https://i.ibb.co/275HtdJV/bread-pakoda.jpg"
"Paneer Chilly",80,"Chinese",true,"Soft paneer cubes stir-fried with capsicum, onions, and sauces — a classic Indo-Chinese favorite among students.","https://i.ibb.co/3mjVMjZB/paneer-chilli.jpg"
"Paratha with Curd & Pickle",40,"Food",true,"Hot, buttery parathas served with fresh curd and tangy pickle — a wholesome and homely Indian meal.","https://i.ibb.co/k2HNnGbg/paratha-with-curd-pickle.jpg"
"Pav Bhaji",40,"Food",true,"Mumbai’s favorite street food — spicy mashed vegetable curry served with butter-toasted pav and chopped onions.","https://i.ibb.co/1fpcMBkS/pav-bhaji.jpg"
"Poha with Sev & Lemon",20,"Food",true,"Light and healthy flattened rice cooked with spices, topped with crunchy sev and a squeeze of lemon for a zesty touch.","https://i.ibb.co/tMCxLPdp/poha-with-sev-and-lemon.png"
"Pulav",60,"Food",true,"Aromatic rice cooked with mixed vegetables and mild spices — flavorful, filling, and comforting.","https://i.ibb.co/dyND4M6/pulav.jpg"
"Rice Plate","100","Food",true,"Steamed rice — a simple, satisfying Indian-style meal.","https://i.ibb.co/XrHk2krT/rice.jpg"
"Slice juice",20,"Drinks",true,"Refreshing mango-flavored drink — sweet, fruity, and just what you need on a hot day.","https://i.ibb.co/tpWMxFqz/slice.jpg"
"Soyabean Chilly",60,"Chinese",true,"High-protein soy chunks tossed in spicy Indo-Chinese sauces — a tasty twist for those who love bold flavors.","https://i.ibb.co/4ZC02JL7/soyabean-chilli.jpg"
"Soybean Roast",60,"Chinese",true,"Spicy roasted soy chunks cooked with onions, tomatoes, and masalas — delicious, nutritious, and full of flavor.","https://i.ibb.co/wNfV8JGh/soyabean-roast.jpg"
"Tea Full",15,"Drinks",true,"A strong, full cup of chai brewed with milk and spices — the ultimate refreshment for any Indian student.","https://i.ibb.co/ksZHqqLg/full-tea.jpg"
"Upma",20,"Food",true,"Soft and savory semolina dish cooked with vegetables and mild spices — a light South Indian breakfast favorite.","https://i.ibb.co/HTdVr4FZ/upma-with-coconut-chutney.webp"
"Vada Pav",15,"Food",true,"Mumbai’s iconic snack — spicy potato vada stuffed in a pav bun, served with chutneys for that perfect desi burger feel!","https://i.ibb.co/LD3L22n0/vada-pav.jpg"
"Veg Sandwich",30,"Food",true,"Fresh and crunchy vegetables layered with chutney between slices of bread — a simple, refreshing snack for any time of day.","https://i.ibb.co/n8q2Kkk1/veg-Sandwitch.jpg"
"Water bottle",20,"Drinks",true,"Pure and clean bottled water to keep you hydrated throughout the day.","https://i.ibb.co/YBSk5KQm/water.jpg"
"plain Dosa",30,"Food",true,"Crispy South Indian crepe made from rice and lentil batter — served with chutney and sambar for a classic taste.","https://i.ibb.co/JP02vNB/plain-dosa-with-chutney.png"
"Samosa",15,"Food",true,"Crispy, golden pastry filled with spiced potato stuffing — the ultimate tea-time treat for every student.","https://i.ibb.co/gF3Zwkwh/samosa.jpg"
"Tea cut",7,"Drinks",true,"Half a cup of strong chai — small in size but big on flavor, perfect for a quick refresh.","https://i.ibb.co/zTxW3Kqd/half-cut-tea.jpg"
"Uttapam",40,"Food",true,"Thick, fluffy South Indian pancake topped with onions, tomatoes, and chillies — soft inside and crispy outside!","https://i.ibb.co/FbtGH4pm/uttapam.jpg"